seriesID,gacha_name
0,伝説のネコルガ族
1,超激ダイナマイツ
2,戦国武神バサラーズ
3,電脳学園ギャラクシーギャルズ
4,超破壊大帝ドラゴンエンペラーズ
5,レッドバスターズ
6,超古代勇者ウルトラソウルズ
7,逆襲の英雄ダークヒーローズ
8,ハロウィンガチャ
9,クリスマスギャルズ
10,忘年会ガチャ
11,ゆるドラシル コラボガチャ
12,メタルスラッグディフェンス コラボガチャ
13,メルクストーリア コラボガチャ
14,生きろ！マンボウ！ コラボガチャ
15,消滅都市 コラボガチャ
16,新年ガチャ
17,ケリ姫スイーツ コラボガチャ
18,究極降臨ギガントゼウス
19,超ネコ祭
20,サマーガールズ
21,プラチナガチャ
22,エアバスターズ
23,魔法少女まどか☆マギカ コラボガチャ
24,革命軍隊アイアンウォーズ
25,クラッシュフィーバー コラボガチャ
26,イースターカーニバル
27,極ネコ祭
28,絶命美少女ギャルズモンスターズ
29,ぐでたま コラボガチャ
30,ウルトラセレクション
31,ミラクルセレクション
32,メタルバスターズ
33,大精霊エレメンタルピクシーズ
34,Fate/stay night [Heaven's Feel] コラボガチャ
35,超選抜祭
36,実況パワフルプロ野球 コラボガチャ
37,エヴァンゲリオン コラボガチャ
38,ビックリマン コラボガチャ
39,極選抜祭
40,ストリートファイターV コラボガチャ
41,エクセレントセレクション
42,超極ネコ祭
43,初音ミク コラボガチャ
44,エヴァンゲリオン コラボガチャ 2nd
45,波動バスターズ
46,レジェンドガチャ
47,超国王祭
48,バレンタインギャルズ
49,らんま1/2 コラボガチャ
50,女王祭
51,熱血！大運動会
52,ホワイトデーガチャ
53,ジューンブライドガチャ
54,ストリートファイター コラボガチャ BLUE TEAM
55,ストリートファイター コラボガチャ RED TEAM
56,超生命体バスターズ
57,熱血！大運動会 赤組
58,熱血！大運動会 白組
59,バスターズ祭
60,メタルスラッグアタック コラボガチャ
61,9000万DL記念ガチャ
62,神魔之塔
63,るろうに剣心 -明治剣客浪漫譚- コラボガチャ
64,サマーガールズ サンシャイン
65,サマーガールズ ブルーオーシャン
66,ウルトラ4セレクション
67,ミラクル4セレクション
68,エクセレント4セレクション
69,1億DL記念ガチャ
70,DL記念ガチャ
71,アウトレットガチャ
72,範馬刃牙 コラボガチャ
73,ソニック・ザ・ヘッジホッグ コラボガチャ
74,鬼滅の刃 コラボガチャ
75,熱血！大運動会 黒組
