seriesID,gacha_name
0,ルガ族
1,ダイナマイツ
2,バサラーズ
3,ギャラクシーギャルズ
4,ドラゴンエンペラーズ
5,レッドバスターズ
6,ウルトラソウルズ
7,ダークヒーローズ
8,ハロウィンガチャ
9,クリスマスギャルズ
10,忘年会ガチャ
11,ゆるドラシル
12,メタルスラッグ
13,メルクストーリア
14,生きろ！マンボウ！
15,消滅都市
16,新年ガチャ
17,ケリ姫スイーツ
18,ギガントゼウス
19,超ネコ祭
20,サマーガールズ
21,プラチナガチャ
22,エアバスターズ
23,魔法少女まどか☆マギカ
24,アイアンウォーズ
25,クラッシュフィーバー
26,イースターカーニバル
27,極ネコ祭
28,ギャルモン
29,ぐでたま
30,ウルトラセレクション
31,ミラクルセレクション
32,メタルバスターズ
33,ピクシーズ
34,Fate
35,超選抜祭
36,パワプロ
37,エヴァンゲリオン
38,ビックリマン
39,極選抜祭
40,ストリートファイターV
41,エクセレントセレクション
42,超極ネコ祭
43,初音ミク
44,エヴァンゲリオン 2nd
45,波動バスターズ
46,レジェンドガチャ
47,超国王祭
48,バレンタインギャルズ
49,らんま1/2
50,女王祭
51,熱血！大運動会
52,ホワイトデーガチャ
53,ジューンブライドガチャ
54,ストファイ BLUE TEAM
55,ストファイ RED TEAM
56,超生命体バスターズ
57,熱血！大運動会 赤組
58,熱血！大運動会 白組
59,バスターズ祭
60,メタルスラッグアタック
61,9000万DL記念ガチャ
62,神魔之塔
63,るろうに剣心
64,サマガ サンシャイン
65,サマガ ブルーオーシャン
66,ウルトラ4セレクション
67,ミラクル4セレクション
68,エクセレント4セレクション
69,1億DL記念ガチャ
70,DL記念ガチャ
71,アウトレットガチャ
72,範馬刃牙
73,ソニック
74,鬼滅の刃
75,熱血！大運動会 黒組
